```
DATE DU DECES
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 
