```
1er Janvier Séverin Jules
Dumont Louis
Juin Séverin Jules
Juillet Séverin Jules
Août Séverin Jules
Septembre Séverin Jules
Octobre Séverin Jules
Novembre Séverin Jules
Décembre Séverin Jules
Janvier Séverin Jules
Février Séverin Jules
Mars Séverin Jules
Avril Séverin Jules
Mai Séverin Jules
Juin Séverin Jules
Juillet Séverin Jules
Août Séverin Jules
Septembre Séverin Jules
Octobre Séverin Jules
Novembre Séverin Jules
Décembre Séverin Jules
Janvier Séverin Jules
Février Séverin Jules
Mars Séverin Jules
Avril Séverin Jules
Mai Séverin Jules
Juin Séverin Jules
Juillet Séverin Jules
Août Séverin Jules
Septembre Séverin Jules
Octobre Séverin Jules
Novembre Séverin Jules
Décembre Séverin Jules
Janvier Sé
